restaurant_name,compliant,business_address,street_number,street_name,city,postcode
YUMMY MACHI,1,2236 FOREST AVE,2236,FOREST AVE,Staten Island,
DEFONTE'S OF BROOKLYN,1,95 WATER ST,95,WATER ST,Staten Island,
KENNEDY FRIED CHICKEN,0,229 BROAD ST,229,BROAD ST,Staten Island,
PAULIE'S PIZZERIA,1,500 BAY ST,500,BAY ST,Staten Island,
RICHMOND FAMILY PIZZA,1,1060 RICHMOND RD,1060,RICHMOND RD,Staten Island,
SHARKEY'S SQUARE,1,1910 HYLAN BLVD,1910,HYLAN BLVD,Staten Island,
BIN 5,1,1233 BAY ST,1233,BAY ST,Staten Island,
VIA MARGHERITA RESTAURANT,0,452 TOMPKINS AVE,452,TOMPKINS AVE,Staten Island,
AVOCADO SUSHI II,1,1919 HYLAN BLVD,1919,HYLAN BLVD,Staten Island,
SUBWAY,1,86 GUYON AVE,86,GUYON AVE,Staten Island,
FUSHIMI JAPANESE CUISINE,1,2110 RICHMOND RD,2110,RICHMOND RD,Staten Island,
EL DORADO RESTAURANT,0,2236 HYLAN BLVD,2236,HYLAN BLVD,Staten Island,
RONNIE'S SANDWICH SHOPPE,1,2300 HYLAN BLVD,2300,HYLAN BLVD,Staten Island,
NEW GARDEN,1,1755 RICHMOND RD,1755,RICHMOND RD,Staten Island,
SUBWAY,1,6390 AMBOY RD,6390,AMBOY RD,Staten Island,
DUNKIN' DONUTS,1,585 VETERANS RD W,585,VETERANS RD W,Staten Island,
JOE'S LOBSTER HOUSE,0,4707 ARTHUR KILL RD,4707,ARTHUR KILL RD,Staten Island,
LA ROSA GRILL,1,245 RICHMOND VALLEY RD,245,RICHMOND VALLEY RD,Staten Island,
DUNKIN DONUTS,1,2449 VETERANS RD W,2449,VETERANS RD W,Staten Island,
FUSHIMI,0,17 PAGE AVE,17,PAGE AVE,Staten Island,
MISAKI SUSHI,1,645 ROSSVILLE AVE,645,ROSSVILLE AVE,Staten Island,
AUNT BUTCHIES OF BROOKLYN,1,4864 ARTHUR KILL RD,4864,ARTHUR KILL RD,Staten Island,
DON CHUCHO,1,1112 FOREST AVE,1112,FOREST AVE,Staten Island,
CRIMMINS ALE HOUSE,0,1144 FOREST AVE,1144,FOREST AVE,Staten Island,
Philly Pretzel Factory,1,604 FOREST AVE,604,FOREST AVE,Staten Island,
MANGIA FRESH KITCHEN,1,20 JEFFERSON BLVD,20,JEFFERSON BLVD,Staten Island,
SMASHBURGER,1,4318 AMBOY RD,4318,AMBOY RD,Staten Island,
DUNKIN DONUTS,1,3845 RICHMOND AVE,3845,RICHMOND AVE,Staten Island,
BETTER GOURMET HEALTH KITCHEN,0,877 HUGUENOT AVE,877,HUGUENOT AVE,Staten Island,
AVOCADO,1,4342 AMBOY RD,4342,AMBOY RD,Staten Island,
RICHMOND REPUBLIC,1,4459 AMBOY RD,4459,AMBOY RD,Staten Island,
RED MANGO,1,2655 RICHMOND AVE,2655,RICHMOND AVE,Staten Island,
RED ROBIN GOURMET BURGERS AND,1,2655 RICHMOND AVE,2655,RICHMOND AVE,Staten Island,
DUNKIN DONUTS,1,2655 RICHMOND AVENUE,2655,RICHMOND AVENUE,Staten Island,
JOE & PAT'S,1,1758 VICTORY BLVD,1758,VICTORY BLVD,Staten Island,
290 WILD BAR,0,290 WILD AVE,290,WILD AVE,Staten Island,
SANMA JAPANESE RESTAURANT,1,10 AKRON ST,10,AKRON ST,Staten Island,
SUSHI CORNER,0,949 JEWETT AVE,949,JEWETT AVE,Staten Island,
Better Gourmet,1,4077 VICTORY BLVD,4077,VICTORY BLVD,Staten Island,
SHAKE SHACK,1,2655 RICHMOND AVE,2655,RICHMOND AVE,Staten Island,
DAVE & BUSTERS,1,2655 RICHMOND AVE,2655,RICHMOND AVE,Staten Island,
MARIANNA'S PIZZA,0,11 HOLDEN BLVD,11,HOLDEN BLVD,Staten Island,
AMC STATEN ISLAND 11,1,2655 RICHMOND AVE,2655,RICHMOND AVE,Staten Island,
CHUCK E. CHEESE'S,1,700 EXTERIOR ST,700,EXTERIOR ST,Bronx,
COLD CUT CITY BUNNY DELI 2,1,228 W 231ST ST,228,W 231ST ST,Bronx,
CHINA MIA,1,2232 WHITE PLAINS RD,2232,WHITE PLAINS RD,Bronx,
CARIDAD RESTAURANT,1,1594 WESTCHESTER AVE,1594,WESTCHESTER AVE,Bronx,
NRGIZE LIFE STYLE CAFE,1,1776 EASTCHESTER RD,1776,EASTCHESTER RD,Bronx,
DUNKIN' DONUTS,1,1592 WESTCHESTER AVE,1592,WESTCHESTER AVE,Bronx,
SARKU JAPAN,1,200 BAYCHESTER AVE,200,BAYCHESTER AVE,Bronx,
RED LOBSTER,1,2090 BARTOW AVE,2090,BARTOW AVE,Bronx,
DUNKIN' DONUTS,1,1776 EASTCHESTER RD,1776,EASTCHESTER RD,Bronx,
OLIVE GARDEN,1,200 BAYCHESTER AVE,200,BAYCHESTER AVE,Bronx,
POLLO SABROSO RESTAURANT,1,216 E 198TH ST,216,E 198TH ST,Bronx,
CENTRAL CARIBBEAN BAKERY,1,1322 E GUN HILL RD,1322,E GUN HILL RD,Bronx,
RED ROBIN GOURMET BURGERS AND,1,200 BAYCHESTER AVE,200,BAYCHESTER AVE,Bronx,
Bangla Garden Restaurant,1,1864 WESTCHESTER AVE,1864,WESTCHESTER AVE,Bronx,
TEXAS CHICKEN & BURGERS,1,2660 3RD AVE,2660,3RD AVE,Bronx,
SARKU JAPAN,1,815 HUTCHINSON RIVER PKWY,815,HUTCHINSON RIVER PKWY,Bronx,
MB RESTAURANT,1,2771 WEBSTER AVE,2771,WEBSTER AVE,Bronx,
M AND G RESTAURANT,0,2472 ARTHUR AVE,2472,ARTHUR AVE,Bronx,
KENNEDY FRIED CHICKEN,1,638 E 169TH ST,638,E 169TH ST,Bronx,
LA FUENTES STEAKHOUSE,1,1306 JEROME AVE,1306,JEROME AVE,Bronx,
BUFFALO WILD WINGS,1,193 W 237TH ST,193,W 237TH ST,Bronx,
SCAVELLO'S ON THE ISLAND,1,101 CITY ISLAND AVE,101,CITY ISLAND AVE,Bronx,
TRUMP GOLF LINKS AT FERRY POINT,0,500 HUTCHINSON RIVER PKWY,500,HUTCHINSON RIVER PKWY,Bronx,
EL TORITO MEXICAN RESTAURANT,0,2132 CRUGER AVE,2132,CRUGER AVE,Bronx,
ELLIE'S DINER & RESTAURANT,1,58 METROPOLITAN OVAL,58,METROPOLITAN OVAL,Bronx,
SUBWAY,1,839 PROSPECT AVE,839,PROSPECT AVE,Bronx,
BUHRE TOP TORTILLAS,1,3038 BUHRE AVE,3038,BUHRE AVE,Bronx,
RESIDENCE INN BY MARRIOTT BRONX,1,1776 EASTCHESTER RD,1776,EASTCHESTER RD,Bronx,
RELISH CATERERS,0,2501 3RD AVE,2501,3RD AVE,Bronx,
HERBALIFE,0,624 MELROSE AVE,624,MELROSE AVE,Bronx,
KAI FAN ASIAN CUISINE,1,3717 RIVERDALE AVE,3717,RIVERDALE AVE,Bronx,
SAZON DE LUPITA,1,155A W KINGSBRIDGE RD,155A,W KINGSBRIDGE RD,Bronx,
ARCHIE'S TAP AND TABLE,1,536 CITY ISLAND AVE,536,CITY ISLAND AVE,Bronx,
WILLIAMS CAFE,1,122 WESTCHESTER SQ,122,WESTCHESTER SQ,Bronx,
TEXAS CHICKEN & BURGERS,1,2104 CROTONA PKWY,2104,CROTONA PKWY,Bronx,
MCDONALD'S,1,16 WESTCHESTER SQ,16,WESTCHESTER SQ,Bronx,
ARTH ALGANATIN,0,700 RHINELANDER AVE,700,RHINELANDER AVE,Bronx,
PANDA EXPRESS,1,1 W FORDHAM RD,1,W FORDHAM RD,Bronx,
OUTBACK STEAKHOUSE,1,270 BAYCHESTER AVE,270,BAYCHESTER AVE,Bronx,
CASA RESTAURANT & LOUNGE,1,3607 E TREMONT AVE,3607,E TREMONT AVE,Bronx,
MARIO'S PIZZA 2,1,1011 WESTCHESTER AVE,1011,WESTCHESTER AVE,Bronx,
BURGER KING,1,1607 WESTCHESTER AVE,1607,WESTCHESTER AVE,Bronx,
ACRI CAFE,1,1315 COMMERCE AVE,1315,COMMERCE AVE,Bronx,
NEW YORK POST CAFETERIA,0,900 E 132ND ST,900,E 132ND ST,Bronx,
NEW EAST STAR,1,987 WESTCHESTER AVE,987,WESTCHESTER AVE,Bronx,
